RC,MIN,MAX,MEAN,START,END,DURATION,CV,A1,A2,A3,A4,IS_FP
225,-69.0,-52.5,-61.195555555555565,1581079347416077,1581079423874121,76458044,-0.053374063270371516,75,41,52,57,0
18,-65.0,-56.5,-60.0,1581079349961880,1581079422372381,72410501,-0.040445054940447325,1,11,6,0,0
26,-69.0,-60.0,-63.03846153846154,1581079349403036,1581079423940056,74537020,-0.03470765748219132,3,7,7,9,0
352,-69.5,-50.0,-60.99573863636363,1581079347403888,1581079423959257,76555369,-0.05608726562385236,86,80,100,86,1
18,-65.0,-54.5,-60.361111111111114,1581079350842864,1581079422385526,71542662,-0.045270015605400636,0,10,8,0,0
16,-65.0,-54.5,-59.21875,1581079350656022,1581079422084683,71428661,-0.051268873935132214,4,8,2,2,0
28,-70.0,-58.0,-62.69642857142857,1581079348998383,1581079423990233,74991850,-0.049864502977559434,0,18,10,0,0
2,-66.5,-61.0,-63.75,1581079351418729,1581079423123661,71704932,-0.043137254901960784,0,0,0,2,0
61,-65.0,-53.5,-59.016393442622956,1581079348979276,1581079423099985,74120709,-0.05460471026125905,12,14,22,13,0
51,-69.0,-55.0,-59.911764705882355,1581079349684491,1581079423311404,73626913,-0.05397717450242352,11,8,14,18,0
57,-66.5,-54.5,-58.649122807017534,1581079350169709,1581079423336019,73166310,-0.05191780687684477,14,8,15,20,0
63,-66.5,-53.5,-58.96825396825397,1581079349656562,1581079423167455,73510893,-0.05490690864139017,17,6,16,24,0
9,-64.0,-58.0,-60.5,1581079350646330,1581079420998144,70351814,-0.033057851239669415,5,4,0,0,0
38,-70.0,-57.5,-63.17105263157895,1581079348608864,1581079422157133,73548269,-0.04970454386633195,6,8,14,10,0
13,-61.5,-54.5,-59.230769230769226,1581079391958689,1581079422087963,30129274,-0.035908562500515565,3,6,4,0,0
19,-67.5,-56.5,-62.342105263157904,1581079349983145,1581079422136417,72153272,-0.04662457162172756,0,11,4,4,0
5,-65.5,-63.5,-64.2,1581079350159697,1581079422061608,71901911,-0.01165625354135184,0,1,4,0,0
75,-67.5,-51.5,-59.03333333333333,1581079347527062,1581079422692812,75165750,-0.06056279018765408,23,10,17,25,0
13,-64.5,-60.0,-61.884615384615394,1581079350623365,1581079421937319,71313954,-0.027655183917075183,6,2,5,0,0
19,-67.5,-58.0,-61.57894736842106,1581079350415117,1581079421627065,71211948,-0.03810854155488538,0,7,2,10,0
65,-68.5,-52.0,-59.846153846153854,1581079348961747,1581079423017366,74055619,-0.06193319055018511,9,19,23,14,0
23,-67.5,-57.5,-61.41304347826087,1581079349848624,1581079422700346,72851722,-0.03853695263789545,10,11,0,2,1
11,-67.0,-61.5,-64.0,1581079349801431,1581079421181202,71379771,-0.02447967036877001,3,6,1,1,0
294,-70.0,-64.5,-67.36054421768708,1581079295956571,1581079426417800,130461229,-0.0124953073613081,294,0,0,0,1
540,-73.5,-58.0,-66.45833333333333,1581079296026040,1581079426456332,130430292,-0.0436575573989874,1,242,286,11,1
880,-66.0,-56.0,-60.33125,1581079295952078,1581079426454282,130502204,-0.02734267795847168,275,305,0,300,1
316,-68.0,-61.0,-62.97151898734179,1581079296084124,1581079426273168,130189044,-0.019505395351812727,0,18,298,0,1
27,-61.5,-57.5,-60.62962962962962,1581079296996766,1581079425004243,128007477,-0.01564599691492449,0,0,27,0,1
1227,-57.5,-48.5,-52.024042379788106,1581079295954895,1581079426452368,130497473,-0.03599868060622149,308,309,307,303,1
422,-68.0,-63.0,-65.60545023696683,1581079296090845,1581079426285037,130194192,-0.017862905721393985,151,0,271,0,1
165,-67.0,-62.5,-66.35454545454546,1581079296247339,1581079424883301,128635962,-0.01140575772342442,165,0,0,0,1
2,-66.0,-66.0,-66.0,1581079390776679,1581079390832149,55470,-0.0,0,0,2,0,0
6,-67.5,-61.0,-64.0,1581079391264729,1581079418886575,27621846,-0.03853814736184568,0,0,2,4,0
26,-67.0,-61.5,-65.28846153846153,1581079387317655,1581079417959868,30642213,-0.02460336915200187,0,3,11,12,0
2,-68.5,-68.5,-68.5,1581079390327983,1581079390373491,45508,-0.0,0,2,0,0,0
310,-54.5,-51.0,-52.58225806451613,1581079296022192,1581079426457634,130435442,-0.010397006198394324,0,310,0,0,1
539,-73.5,-52.5,-60.663265306122454,1581079348365617,1581079423949525,75583908,-0.05471479567178248,170,147,116,106,1
8,-61.0,-57.0,-59.0,1581079350832063,1581079422126614,71294551,-0.023969721396154157,2,6,0,0,0
11,-62.0,-53.5,-58.13636363636363,1581079349380512,1581079421180111,71799599,-0.04507751463768436,2,9,0,0,0
69,-66.5,-52.0,-59.41304347826087,1581079349129767,1581079422896406,73766639,-0.05741766782760512,15,16,20,18,0
88,-69.5,-47.5,-58.49431818181818,1581079349229508,1581079423503378,74273870,-0.08453578695312415,26,16,19,27,0
48,-67.5,-55.0,-60.14583333333334,1581079349534578,1581079422496814,72962236,-0.055480354272033405,16,8,15,9,0
8,-68.5,-59.5,-64.5625,1581079350651915,1581079421849244,71197329,-0.04858629270601977,5,2,0,1,0
39,-70.0,-57.5,-62.30769230769231,1581079349977294,1581079424012177,74034883,-0.04337124483250849,0,22,9,8,0
42,-66.5,-54.5,-60.97619047619048,1581079348599349,1581079424328437,75729088,-0.055728233348450236,1,17,22,2,0
38,-65.0,-56.0,-59.23684210526316,1581079349521138,1581079423096557,73575419,-0.036265360518806834,3,5,17,13,1
77,-67.5,-54.5,-60.558441558441565,1581079348621923,1581079422890229,74268306,-0.054116449052515316,12,24,31,10,0
78,-67.0,-53.5,-60.044871794871796,1581079349651158,1581079423859847,74208689,-0.059335521065544725,28,6,16,28,0
33,-64.0,-55.5,-59.13636363636363,1581079350176590,1581079422506338,72329748,-0.04148755034155525,3,7,14,9,0
57,-69.0,-54.0,-60.868421052631575,1581079348977548,1581079422909033,73931485,-0.06190353080805326,4,16,22,15,0
12,-61.5,-55.5,-57.66666666666666,1581079351521444,1581079422688741,71167297,-0.02926077562328987,10,2,0,0,0
21,-66.0,-54.5,-58.92857142857143,1581079350464190,1581079423568763,73104573,-0.050995597498091225,15,3,0,3,0
61,-68.0,-53.5,-60.32786885245902,1581079349028840,1581079422879917,73851077,-0.05146175248023025,17,15,18,11,0
35,-70.5,-55.0,-62.25714285714286,1581079349091955,1581079423416137,74324182,-0.051812941065678325,15,13,3,4,0
34,-70.0,-58.5,-64.14705882352939,1581079349230884,1581079422899571,73668687,-0.050815541790402215,17,10,5,2,0
15,-65.5,-57.0,-59.56666666666667,1581079350201256,1581079423174640,72973384,-0.0325625887542835,2,0,4,9,1
9,-63.0,-56.0,-59.0,1581079350893046,1581079422319903,71426857,-0.039949535660256934,1,7,1,0,0
41,-67.0,-52.0,-59.78048780487804,1581079350382672,1581079423836839,73454167,-0.06835071793749295,20,12,2,7,0
10,-65.0,-56.5,-59.95,1581079350863821,1581079395619888,44756067,-0.0416095735888788,4,6,0,0,0
24,-69.5,-57.0,-62.0,1581079351526401,1581079423760036,72233635,-0.045797647950002206,10,7,0,7,0
14,-65.5,-57.5,-62.92857142857143,1581079349139663,1581079422737342,73597679,-0.03676307546129772,8,2,2,2,1
26,-66.0,-54.5,-60.5,1581079349805232,1581079422726839,72921607,-0.04379145606940756,17,9,0,0,1
23,-66.0,-58.0,-62.5,1581079350395568,1581079422567535,72171967,-0.03677428212877794,2,3,8,10,1
60,-68.5,-56.0,-60.85,1581079348886244,1581079422804875,73918631,-0.041392981493359016,13,14,21,12,0
4,-56.5,-52.0,-53.875,1581079350897931,1581079422071190,71173259,-0.03034036387615318,0,4,0,0,0
3,-59.5,-59.0,-59.16666666666666,1581079350597992,1581079350916392,318400,-0.003983700175698861,2,1,0,0,0
13,-66.5,-52.0,-57.615384615384606,1581079350253921,1581079421847420,71593499,-0.07133180373575082,9,2,1,1,0
30,-62.0,-54.0,-58.13333333333333,1581079349263926,1581079422398790,73134864,-0.03800874637425815,16,6,8,0,0
28,-68.0,-55.5,-59.92857142857143,1581079349993726,1581079422878565,72884839,-0.044075952531825016,2,17,9,0,0
24,-69.5,-53.5,-61.75,1581079349972441,1581079422114325,72141884,-0.056487043283283,2,14,8,0,0
41,-67.0,-54.0,-59.634146341463406,1581079348429234,1581079422593970,74164736,-0.06208489266371221,7,13,11,10,0
35,-63.5,-52.5,-59.05714285714286,1581079347395521,1581079422378417,74982896,-0.0457842986524276,12,5,18,0,0
